City_Name,Zone_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Tiruchirappalli,Srirangam Zone,1,0.69,0.78,0.76,0.83,0.45,0.77,0.85,0.87,0.99,1.12,0.04,0.04,0.08,0.05,0.01,0.04,0.05,0.09,0.06,0.09
Tiruchirappalli,Srirangam Zone,2,0.33,0.36,0.35,0.36,0.2,0.43,0.45,0.48,0.53,0.6,0.14,0.15,0.14,0.15,0.03,0.23,0.23,0.23,0.25,0.28
Tiruchirappalli,Srirangam Zone,3,0.28,0.31,0.33,0.34,0.17,0.43,0.48,0.5,0.52,0.53,0.13,0.11,0.14,0.13,0.04,0.22,0.19,0.22,0.22,0.23
Tiruchirappalli,Srirangam Zone,4,0.38,0.42,0.51,0.51,0.24,0.5,0.56,0.7,0.76,0.84,0.16,0.17,0.25,0.27,0.04,0.28,0.29,0.46,0.49,0.51
Tiruchirappalli,Srirangam Zone,5,0.91,0.99,0.94,0.98,0.56,1.05,1.12,1.14,1.22,1.38,0.19,0.19,0.24,0.24,0.1,0.21,0.21,0.27,0.27,0.27
Tiruchirappalli,Srirangam Zone,6,0.34,0.41,0.42,0.45,0.22,0.43,0.51,0.56,0.64,0.74,0.05,0.05,0.08,0.08,0.03,0.05,0.06,0.11,0.12,0.13
Tiruchirappalli,Srirangam Zone,8,0.22,0.23,0.23,0.26,0.1,0.23,0.25,0.27,0.3,0.31,0.1,0.11,0.12,0.12,0.05,0.12,0.14,0.16,0.17,0.18
Tiruchirappalli,Srirangam Zone,9,0.33,0.33,0.32,0.31,0.12,0.41,0.42,0.43,0.46,0.53,0.77,0.82,0.94,0.87,0.37,0.99,0.97,1.14,1.16,1.34
Tiruchirappalli,Srirangam Zone,10,0.22,0.22,0.21,0.21,0.09,0.27,0.27,0.27,0.29,0.31,0.64,0.65,0.65,0.67,0.24,1.12,1.18,1.25,1.3,1.35
Tiruchirappalli,Srirangam Zone,11,0.16,0.16,0.16,0.17,0.07,0.16,0.16,0.16,0.17,0.17,0.29,0.22,0.23,0.24,0.12,0.32,0.26,0.29,0.3,0.31
Tiruchirappalli,Srirangam Zone,12,0.11,0.11,0.1,0.12,0.03,0.16,0.16,0.17,0.19,0.21,0.54,0.43,0.44,0.5,0.16,1.25,1.2,1.28,1.32,1.27
Tiruchirappalli,Srirangam Zone,13,0.17,0.16,0.15,0.16,0.05,0.2,0.2,0.21,0.22,0.23,1.17,1.12,1.1,1.16,0.51,2.07,2.1,2.19,2.36,2.67
Tiruchirappalli,Srirangam Zone,16,0.17,0.17,0.16,0.17,0.06,0.18,0.17,0.17,0.18,0.19,0.1,0.11,0.11,0.12,0.03,0.23,0.17,0.17,0.17,0.18
Tiruchirappalli,Srirangam Zone,17,0.26,0.26,0.25,0.25,0.09,0.27,0.26,0.26,0.27,0.28,0.63,0.43,0.44,0.52,0.16,1.28,1.11,1.19,1.2,1.18
Tiruchirappalli,Srirangam Zone,18,0.26,0.27,0.26,0.27,0.09,0.32,0.33,0.33,0.35,0.38,0.31,0.3,0.28,0.31,0.07,0.86,0.88,0.91,0.95,0.97
Tiruchirappalli,Ariyamangalam Zone,7,0.2,0.24,0.25,0.3,0.13,0.25,0.29,0.32,0.36,0.39,0.1,0.1,0.16,0.19,0.11,0.26,0.28,0.35,0.4,0.43
Tiruchirappalli,Ariyamangalam Zone,14,0.14,0.14,0.14,0.15,0.07,0.19,0.2,0.21,0.23,0.24,0.17,0.16,0.17,0.18,0.07,0.28,0.28,0.3,0.31,0.31
Tiruchirappalli,Ariyamangalam Zone,15,0.1,0.12,0.14,0.14,0.06,0.14,0.16,0.2,0.21,0.23,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04
Tiruchirappalli,Ariyamangalam Zone,19,0.11,0.12,0.08,0.14,0.07,0.18,0.2,0.24,0.32,0.35,0.49,0.47,0.42,0.49,0.14,1.03,1.02,1.11,1.24,1.3
Tiruchirappalli,Ariyamangalam Zone,20,0.07,0.09,0.06,0.08,0.03,0.1,0.12,0.12,0.15,0.16,0.11,0.09,0.08,0.08,0.02,0.17,0.15,0.16,0.17,0.18
Tiruchirappalli,Ariyamangalam Zone,21,0.09,0.09,0.08,0.09,0.04,0.11,0.11,0.12,0.14,0.14,0.06,0.05,0.05,0.06,0.02,0.07,0.07,0.07,0.09,0.08
Tiruchirappalli,Ariyamangalam Zone,22,0.15,0.16,0.15,0.18,0.07,0.2,0.21,0.22,0.24,0.25,0.03,0.03,0.02,0.03,0.01,0.03,0.04,0.05,0.05,0.06
Tiruchirappalli,Ariyamangalam Zone,23,0.11,0.13,0.1,0.13,0.05,0.16,0.18,0.18,0.2,0.23,0.12,0.12,0.12,0.13,0.04,0.14,0.14,0.15,0.17,0.17
Tiruchirappalli,Ariyamangalam Zone,24,0.09,0.12,0.12,0.12,0.05,0.13,0.14,0.14,0.13,0.13,0.02,0.03,0.03,0.03,0.01,0.04,0.04,0.04,0.04,0.04
Tiruchirappalli,Ariyamangalam Zone,25,0.12,0.12,0.11,0.12,0.05,0.19,0.18,0.19,0.2,0.21,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
Tiruchirappalli,Ariyamangalam Zone,26,0.1,0.1,0.09,0.11,0.05,0.12,0.12,0.12,0.14,0.15,0.04,0.04,0.04,0.04,0.02,0.05,0.05,0.05,0.05,0.05
Tiruchirappalli,Ariyamangalam Zone,27,0.32,0.35,0.34,0.38,0.22,0.38,0.42,0.46,0.54,0.64,0.4,0.41,0.43,0.46,0.24,0.41,0.42,0.45,0.51,0.58
Tiruchirappalli,Ariyamangalam Zone,28,0.09,0.12,0.1,0.15,0.06,0.13,0.15,0.16,0.2,0.19,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.05,0.05
Tiruchirappalli,Ariyamangalam Zone,29,0.2,0.29,0.23,0.26,0.09,0.32,0.38,0.35,0.4,0.42,0.09,0.16,0.15,0.18,0.14,0.11,0.18,0.17,0.21,0.25
Tiruchirappalli,Ariyamangalam Zone,33,0.33,0.34,0.35,0.36,0.18,0.36,0.37,0.38,0.4,0.41,0.21,0.14,0.16,0.15,0.08,0.24,0.18,0.21,0.22,0.23
Tiruchirappalli,Ariyamangalam Zone,61,0.05,0.05,0.04,0.05,0.02,0.06,0.07,0.07,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.08,0.09,0.11
Tiruchirappalli,Ariyamangalam Zone,62,0.03,0.03,0.03,0.05,0.02,0.04,0.05,0.05,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiruchirappalli,Ariyamangalam Zone,64,0.1,0.11,0.09,0.11,0.05,0.11,0.11,0.11,0.14,0.15,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02
Tiruchirappalli,Golden Rock Zone,30,0.3,0.31,0.32,0.34,0.13,0.33,0.33,0.35,0.37,0.38,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
Tiruchirappalli,Golden Rock Zone,31,0.14,0.14,0.14,0.15,0.05,0.14,0.14,0.15,0.16,0.17,0.02,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.03,0.03
Tiruchirappalli,Golden Rock Zone,34,0.24,0.26,0.25,0.28,0.1,0.86,0.62,0.66,0.73,0.78,0.13,0.13,0.15,0.14,0.06,0.15,0.15,0.18,0.17,0.17
Tiruchirappalli,Golden Rock Zone,35,0.34,0.39,0.39,0.41,0.16,0.4,0.43,0.47,0.51,0.55,0.17,0.12,0.15,0.14,0.03,0.17,0.13,0.15,0.15,0.16
Tiruchirappalli,Golden Rock Zone,36,0.25,0.24,0.25,0.26,0.09,0.3,0.29,0.32,0.34,0.35,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.03
Tiruchirappalli,Golden Rock Zone,37,0.32,0.37,0.39,0.47,0.17,0.36,0.42,0.49,0.59,0.62,0.04,0.04,0.09,0.12,0.01,0.04,0.04,0.1,0.13,0.14
Tiruchirappalli,Golden Rock Zone,38,0.85,0.95,0.93,1.08,0.52,0.98,1.09,1.16,1.31,1.37,0.12,0.12,0.15,0.17,0.05,0.13,0.14,0.19,0.2,0.19
Tiruchirappalli,Golden Rock Zone,39,0.25,0.25,0.29,0.3,0.17,0.32,0.3,0.36,0.37,0.41,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.04
Tiruchirappalli,Golden Rock Zone,42,0.32,0.34,0.29,0.37,0.13,0.37,0.36,0.36,0.42,0.42,0.07,0.08,0.08,0.08,0.02,0.07,0.08,0.08,0.09,0.1
Tiruchirappalli,Golden Rock Zone,43,0.26,0.26,0.26,0.29,0.13,0.28,0.29,0.3,0.31,0.32,0.1,0.09,0.09,0.12,0.08,0.13,0.16,0.11,0.14,0.18
Tiruchirappalli,Golden Rock Zone,44,0.9,0.95,0.68,0.63,0.23,1.8,1.34,0.89,0.85,0.81,2.14,2.95,2.12,2.09,0.62,6.2,6.11,4.8,4.88,5.12
Tiruchirappalli,Golden Rock Zone,46,0.5,0.57,0.53,0.59,0.27,0.61,0.69,0.73,0.84,0.9,0.38,0.48,0.55,0.32,0.16,1.17,1.17,0.88,0.68,0.7
Tiruchirappalli,Golden Rock Zone,47,0.09,0.1,0.09,0.09,0.04,0.12,0.12,0.12,0.14,0.15,0.37,0.31,0.33,0.33,0.1,0.39,0.34,0.37,0.37,0.39
Tiruchirappalli,Golden Rock Zone,48,0.2,0.2,0.18,0.22,0.07,0.29,0.29,0.31,0.35,0.35,0.05,0.04,0.05,0.04,0.01,0.06,0.06,0.07,0.07,0.07
Tiruchirappalli,Golden Rock Zone,63,0.19,0.2,0.21,0.21,0.12,0.19,0.2,0.21,0.22,0.23,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01
Tiruchirappalli,Golden Rock Zone,65,0.14,0.15,0.15,0.16,0.05,0.15,0.15,0.16,0.16,0.16,0.05,0.05,0.06,0.06,0.02,0.09,0.09,0.1,0.1,0.11
Tiruchirappalli,K-Abishekapuram Zone,40,0.38,0.4,0.43,0.41,0.24,0.55,0.59,0.66,0.73,0.88,0.16,0.14,0.2,0.17,0.09,0.19,0.19,0.23,0.22,0.27
Tiruchirappalli,K-Abishekapuram Zone,41,0.48,0.48,0.5,0.6,0.33,0.53,0.56,0.62,0.72,0.8,0.05,0.06,0.16,0.15,0.04,0.06,0.06,0.26,0.27,0.23
Tiruchirappalli,K-Abishekapuram Zone,45,0.81,0.81,0.76,0.82,0.32,0.93,0.92,0.95,1.08,1.19,0.49,0.63,1.84,0.85,0.43,3.19,3.4,3.05,2.06,2.24
Tiruchirappalli,K-Abishekapuram Zone,49,0.12,0.13,0.11,0.13,0.07,0.13,0.13,0.13,0.16,0.17,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.03,0.02,0.02
Tiruchirappalli,K-Abishekapuram Zone,50,0.46,0.5,0.45,0.47,0.21,0.51,0.54,0.55,0.64,0.72,0.36,0.37,0.53,0.5,0.16,0.5,0.42,0.77,0.7,0.7
Tiruchirappalli,K-Abishekapuram Zone,51,0.27,0.32,0.27,0.29,0.14,0.34,0.37,0.37,0.42,0.48,0.33,0.29,0.31,0.33,0.14,0.41,0.39,0.54,0.55,0.59
Tiruchirappalli,K-Abishekapuram Zone,52,0.82,0.87,0.96,1.05,0.58,0.95,1.07,1.2,1.34,1.43,0.26,0.28,0.43,0.45,0.2,0.32,0.34,0.58,0.63,0.68
Tiruchirappalli,K-Abishekapuram Zone,53,0.3,0.36,0.38,0.49,0.24,0.34,0.4,0.48,0.64,0.7,0.04,0.05,0.08,0.13,0.05,0.05,0.05,0.12,0.16,0.16
Tiruchirappalli,K-Abishekapuram Zone,54,0.31,0.32,0.3,0.38,0.19,0.32,0.35,0.37,0.43,0.44,0.13,0.13,0.2,0.17,0.08,1.16,1.23,1.37,1.42,1.5
Tiruchirappalli,K-Abishekapuram Zone,55,0.25,0.24,0.24,0.28,0.12,0.3,0.31,0.33,0.37,0.39,0.1,0.1,0.1,0.12,0.04,0.12,0.11,0.12,0.16,0.16
Tiruchirappalli,K-Abishekapuram Zone,56,0.69,0.73,0.69,0.77,0.44,0.71,0.76,0.76,0.84,0.89,1.03,1.12,1.74,1.48,0.73,3.0,3.19,3.93,3.66,3.81
Tiruchirappalli,K-Abishekapuram Zone,57,0.53,0.55,0.51,0.58,0.23,0.65,0.66,0.69,0.79,0.99,0.81,0.77,1.04,1.04,0.34,1.48,1.49,1.85,1.84,1.87
Tiruchirappalli,K-Abishekapuram Zone,58,0.2,0.18,0.19,0.2,0.07,0.22,0.21,0.23,0.26,0.28,0.07,0.06,0.07,0.07,0.02,0.07,0.07,0.08,0.1,0.1
Tiruchirappalli,K-Abishekapuram Zone,59,0.16,0.16,0.15,0.18,0.07,0.21,0.21,0.22,0.24,0.26,0.18,0.14,0.16,0.15,0.06,0.22,0.18,0.22,0.23,0.23
Tiruchirappalli,K-Abishekapuram Zone,60,0.28,0.31,0.34,0.43,0.19,0.35,0.39,0.47,0.6,0.66,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.06,0.07,0.07
